cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
0.00017380714416503906,0.00017380714416503906,0,116.38613842533078,0.6,0,500
0.0002562999725341797,0.0002562999725341797,2,48.14426795856567,0.7364622664708113,8,382
0.0003523826599121094,0.0003523826599121094,5,42.16742771089365,0.49442875499765004,-7,5
0.0003826618194580078,0.0003826618194580078,6,38.39177114428849,0.20818817587065955,3,909
0.0004131793975830078,0.0004131793975830078,7,8.618079335616029,0.11418278205866764,5,73
0.005957841873168945,0.005957841873168945,204,7.6380830117972405,0.15057258475394256,-2,936
0.006098508834838867,0.006098508834838867,209,5.853531827314376,0.11619707477329902,9,973
0.006292104721069336,0.006292104721069336,216,4.677315723214676,0.10527995581626184,4,253
0.0075418949127197266,0.0075418949127197266,262,4.288013956887979,0.12323129864520624,-8,350
0.007569074630737305,0.007569074630737305,263,2.443549372057579,1.0174806574547157,-7,516
0.007707834243774414,0.007707834243774414,268,0.6094702671462177,0.30336975546595,-1,373
0.007735013961791992,0.007735013961791992,269,0.3398995117566054,0.232436301845827,-8,479
