CONFIG_ID,random_parameter_1,random_parameter_2,random_parameter_3
0,0.6,0,500
1,0.9906543926176696,-3,207
2,0.7364622664708113,8,382
3,1.0982149249452329,-10,988
4,0.5730297231028602,1,815
5,0.49442875499765004,-7,5
6,0.20818817587065955,3,909
7,0.11418278205866764,5,73
8,0.9105533912663549,-7,145
9,0.6855201836441681,0,190
10,0.13967511158476367,3,503
11,0.7372657038509849,7,761
12,0.5185695837798961,5,139
13,0.5372539674266478,6,622
14,0.2145026360904684,6,585
15,0.2776662501930577,-3,771
16,0.30786495753967935,5,28
17,0.8821248026893904,3,51
18,0.4964203814942516,5,810
19,0.6455231866712795,5,758
20,1.0434161843558933,-4,961
21,0.6892997799165671,6,955
22,0.4688284418834576,-10,905
23,0.4167723186128196,1,889
24,0.44289221748944285,6,406
25,0.2010734248926497,0,388
26,0.5492044687645091,-3,481
27,0.9023838101511252,1,516
28,0.8283148770242087,-6,909
29,0.6377169203184151,7,106
30,0.24764769436237546,8,219
31,0.7790033610171696,-4,633
32,0.4778127977431813,-5,391
33,0.9825824924628245,-7,6
34,0.1900634692472967,6,267
35,0.6884707626286463,-5,485
36,0.763074123605327,3,107
37,0.1505084710523538,-2,214
38,0.5983125526341971,-4,228
39,0.4592193874989001,7,498
40,0.5572345288908795,-2,197
41,0.2493041903732547,-7,391
42,0.5861874800850406,-9,795
43,0.35936101285258104,9,895
44,0.6333132066511982,-9,657
45,0.3217366824836255,-4,769
46,0.8151548811107759,2,727
47,1.0649528458095912,9,391
48,0.2819330603639634,-5,954
49,0.5781435634071704,-2,868
50,1.066495017125182,-5,14
51,0.3654124134011091,9,242
52,0.9019366084720626,-1,629
53,0.43538338251702613,-1,362
54,0.72276536818064,4,853
55,1.0726930918747286,-7,513
56,0.831321201562751,8,707
57,0.5095654730980538,7,720
58,0.9921616545350023,6,916
59,0.2260644939477753,-2,348
60,0.8510797085967959,4,86
61,0.9711300235944698,-10,297
62,0.3923512311418712,-5,974
63,1.0918506815631805,-2,954
64,0.4991334982766851,-8,743
65,0.8857390058486939,-4,211
66,0.9806866471254674,-8,485
67,0.6605841548987352,-10,926
68,0.9275430314557231,-3,855
69,0.18006619757539247,-7,958
70,0.5895421412371593,-4,941
71,0.26876477079856254,9,695
72,0.837893172862514,-8,967
73,0.5040854487223057,-9,611
74,0.6945470541169875,3,833
75,0.7120556432287497,-5,140
76,0.8324253632347304,8,166
77,0.7839011866513537,-7,288
78,0.8654036756159255,7,928
