cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
3.7670135498046875e-05,3.7670135498046875e-05,0,123.81151538370652,0.6,0,500
8.249282836914062e-05,8.249282836914062e-05,1,29.87563765933276,0.1164231686173495,-10,558
0.0007884502410888672,0.0007884502410888672,24,19.603685583194252,0.12779581583490332,-1,632
0.0008797645568847656,0.0008797645568847656,27,11.377839067637266,0.18058833079757933,0,87
0.0020990371704101562,0.0020990371704101562,67,8.709900087701335,0.10542439819931718,1,829
0.002725362777709961,0.002725362777709961,88,8.292193992121614,0.12012115619072919,-4,518
0.004365444183349609,0.004365444183349609,142,7.423112104754542,0.11764810994451139,0,342
0.005280733108520508,0.005280733108520508,173,6.735513247410824,0.11878250446473451,8,692
0.00676274299621582,0.00676274299621582,223,5.573749193496678,0.16497628860151595,0,822
0.0073621273040771484,0.0073621273040771484,239,4.582574719700834,0.15452042471640073,8,554
0.007639408111572266,0.007639408111572266,247,3.083329609242115,0.2537860579929173,-5,41
0.008730411529541016,0.008730411529541016,283,0.3720773205900062,0.33106674605369935,6,676
0.00921320915222168,0.00921320915222168,299,0.1816975862939634,0.5146247915245609,2,246
