cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
0.00010228157043457031,0.00010228157043457031,0,95.39723159633162,0.6,0,500
0.0001735687255859375,0.0001735687255859375,2,45.097335827656785,0.643930285897367,2,574
0.00045990943908691406,0.00045990943908691406,11,39.35593259354232,0.20081751342271828,2,547
0.0005161762237548828,0.0005161762237548828,13,32.95371880792365,0.17660998079742488,1,809
0.0006270408630371094,0.0006270408630371094,17,10.663390762458727,0.17663652514681374,2,967
0.0040318965911865234,0.0040318965911865234,131,8.915562966168872,0.13019682328120533,-6,975
0.005345821380615234,0.005345821380615234,179,7.699160788234425,0.11190364932149091,5,415
0.005758523941040039,0.005758523941040039,194,6.728333173629788,0.10029313488046057,4,609
0.005787372589111328,0.005787372589111328,195,6.720069952779426,0.11078654341507568,1,382
0.0063092708587646484,0.0063092708587646484,214,5.972503389344239,0.12159120080805533,1,586
0.006896257400512695,0.006896257400512695,233,4.790182169129481,0.11581289174203704,0,746
0.007567167282104492,0.007567167282104492,256,4.464146937365183,0.11779506908564555,-2,662
0.007816553115844727,0.007816553115844727,265,4.150757872682465,0.35971795121559524,-5,405
0.007844209671020508,0.007844209671020508,266,1.9477046453993851,0.6532461050654951,8,530
0.00874948501586914,0.00874948501586914,299,1.4404998353069018,0.4971524734039081,9,702
