CONFIG_ID,random_parameter_1,random_parameter_2,random_parameter_3
0,0.6,0,500
1,1.0382335378749366,4,923
2,0.12029633655674535,6,548
3,0.36577624781970486,5,584
4,0.4143198319491672,4,691
5,0.446641058925381,2,135
6,0.41437864881331965,-10,425
7,0.27773741135656227,2,197
8,0.9011100756825499,-2,211
9,0.5299737698323078,-2,543
10,1.0582649731860327,-1,222
11,0.5465571298542025,-9,593
12,0.3441842919627448,-1,264
13,0.8228370818538798,8,19
14,0.29103392116297844,1,276
15,0.6249735344681451,-10,14
16,1.0278946381240968,1,597
17,0.2893869659676973,-8,697
18,0.5340647469878771,8,38
19,0.5935457063220861,-9,549
20,0.5613349751255151,8,607
21,0.47523629177982407,5,638
22,0.9732315513809918,-7,918
23,0.1415493266389706,1,820
24,0.4815206943954149,-2,452
25,0.3303807706542945,5,777
26,0.2827363087596425,6,986
27,0.566637729686339,-8,761
28,0.10359281091755493,2,512
29,0.21936418978124086,9,418
30,0.379123487975791,4,250
31,1.0289929803898776,-7,59
32,0.7640688671452445,-6,276
33,0.6579644877188904,0,931
34,0.5707113873565115,3,165
35,0.8989862999336651,3,441
36,0.5758692319034115,7,132
37,0.6272230167870874,-6,539
38,0.9666393466151524,-8,334
39,0.6185440068632033,6,503
40,0.32490788473667487,-7,57
41,0.23687234021706752,7,795
42,0.6637387485250734,5,117
43,0.5594051259573418,-5,866
44,1.0548242701845092,-9,171
45,0.18145482580782538,-7,959
46,0.35804792265085106,1,3
47,0.9824659013745287,3,59
48,0.7212964493025511,4,971
49,0.900317174320328,-7,830
50,0.7843249012937538,-10,43
51,1.0196528708534205,-4,297
52,0.8804169399908234,-8,43
53,0.24338986553844214,-6,55
54,0.1790760301213801,6,843
55,0.46812186055569427,-5,280
56,0.4011404470712172,-1,512
57,0.5143995857005357,-4,114
58,0.33040561922659206,3,516
59,0.21835155521873176,-10,898
60,0.1836351223707338,-2,611
61,0.24372686733354013,4,199
62,0.825149990392725,-8,881
63,0.7071533561568194,-6,966
64,0.7932130409724875,1,846
65,0.9094244716351495,0,249
66,0.11006525585836027,-5,689
67,0.7264864503539806,2,690
68,0.8056250547950745,0,98
69,1.0244782992541601,7,905
70,0.8018883220985921,-2,736
71,0.9869673329743671,-9,104
72,0.578080806681983,-6,404
73,0.8499030045427817,-10,874
74,0.7135160455930878,-8,223
75,0.919022441710854,-8,83
76,0.8342510358085302,-6,305
77,0.708504260622455,-5,809
78,0.9762737554567785,2,860
79,1.0904060972647418,-3,363
