cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
4.00543212890625e-05,4.00543212890625e-05,0,162.74920788506896,0.6,0,500
0.00012493133544921875,0.00012493133544921875,2,152.9043874291913,0.6976281250709376,7,48
0.00016188621520996094,0.00016188621520996094,3,123.4674047102026,0.7213352020841989,0,259
0.000232696533203125,0.000232696533203125,5,103.47871853904044,0.37191237499089536,8,73
0.00026726722717285156,0.00026726722717285156,6,93.68188030901757,1.0629154867233563,9,165
0.0003352165222167969,0.0003352165222167969,8,62.32760281537459,0.8123843552466147,-5,639
0.00046944618225097656,0.00046944618225097656,12,33.69640655212159,0.32669977351757384,6,67
0.0005030632019042969,0.0005030632019042969,13,16.698954559397414,0.12236062063869538,-8,465
0.003541231155395508,0.003541231155395508,83,5.997951729891451,0.11051282897674655,2,117
0.010852575302124023,0.010852575302124023,261,3.4394158009861435,0.3184985428504091,5,281
0.011149406433105469,0.011149406433105469,271,2.627448987183546,0.607771000254294,-7,863
0.011931657791137695,0.011931657791137695,294,2.3482230706895506,0.10367013186617194,7,74
