cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
0.00010371208190917969,0.00010371208190917969,0,59.19622833056574,0.6,0,500
0.00021696090698242188,0.00021696090698242188,3,35.34647252613045,0.14831490582930598,-10,246
0.0003135204315185547,0.0003135204315185547,6,21.46519245473403,0.15501738789068678,-2,948
0.0007030963897705078,0.0007030963897705078,13,15.825271803794164,0.21011819336971585,8,270
0.002531766891479492,0.002531766891479492,74,10.852241995561961,0.15109459466752465,-4,274
0.004870414733886719,0.004870414733886719,157,9.4664588153612,0.11505076090160296,8,733
0.0055522918701171875,0.0055522918701171875,181,7.0964758758160835,0.1302625935444928,-9,370
0.006853818893432617,0.006853818893432617,227,5.919030921438277,0.11712169061734948,8,307
0.007292270660400391,0.007292270660400391,243,5.603149368812822,0.3278237738710513,6,398
0.007348060607910156,0.007348060607910156,245,3.7995536564252705,0.14494244075289767,-9,558
0.008176565170288086,0.008176565170288086,275,2.0210467809374033,0.116264884002281,9,687
