cpu_time,wallclock_time,evaluations,cost,random_parameter_1,random_parameter_2,random_parameter_3
0.00010466575622558594,0.00010466575622558594,0,104.16017132220517,0.6,0,500
0.00014400482177734375,0.00014400482177734375,1,50.832913549800985,0.31394127144171147,4,91
0.00017595291137695312,0.00017595291137695312,2,24.92468930506375,0.18501565542596157,1,660
0.0011928081512451172,0.0011928081512451172,39,17.555647991481244,0.23606853827078292,8,90
0.0015711784362792969,0.0015711784362792969,53,16.74315028870945,0.1937860806325127,2,808
0.003272533416748047,0.003272533416748047,112,12.84996065242701,0.14497741104122144,-2,773
0.003807544708251953,0.003807544708251953,127,6.017519282322206,0.10474241140809351,4,459
0.006876468658447266,0.006876468658447266,238,3.8338956789975964,0.13378890167786697,0,230
0.007254600524902344,0.007254600524902344,252,2.7523921267970533,0.3316605296773917,-2,212
0.00793313980102539,0.00793313980102539,277,2.6766145481580197,0.10361600714440924,1,12
0.008068561553955078,0.008068561553955078,282,1.5694051488173046,0.3592374506682118,-7,55
